Time,Temperature,On Time
23140,48,23,165.23
23166,48,23,165.23
23194,48,20,176.05
23221,48,20,176.05
23248,48,23,176.05
23275,48,22,176.05
23303,48,22,166.86
23329,48,22,166.86
23356,48,22,166.86
23384,48,22,166.86
23410,48,21,172.68
23437,48,23,172.68
23464,48,22,172.68
23491,48,23,172.68
23519,48,23,163.47
23545,48,23,163.47
23572,48,23,163.47
23600,48,21,163.47
23626,48,21,174.29
23654,48,23,174.29
23681,48,22,174.29
23708,48,24,174.29
23735,48,23,165.08
23761,48,22,165.08
23789,48,24,165.08
23816,48,21,165.08
23843,48,22,170.89
23870,48,22,170.89
23897,48,23,170.89
23924,48,23,170.89
23951,48,22,171.7
23979,48,24,171.7
24005,48,21,171.7
24032,49,23,171.7
24059,49,24,162.49
24086,49,24,162.49
24114,49,23,162.49
24140,49,23,162.49
24167,49,24,163.28
24195,49,21,163.28
24221,49,21,163.28
24249,49,24,163.28
24275,49,23,169.09
24302,49,23,169.09
24330,49,24,169.09
24356,49,23,169.09
24384,49,23,169.89
24411,49,21,169.89
24437,49,25,169.89
24465,49,23,169.89
24492,49,23,170.7
24519,49,25,170.7
24546,49,23,170.7
24573,49,23,170.7
24600,49,21,181.52
24627,49,21,181.52
24654,49,24,181.52
24681,49,24,181.52
24709,49,24,167.32
24735,49,23,167.32
24762,49,23,167.32
24790,49,24,167.32
24816,49,21,183.15
24844,49,23,183.15
24870,49,25,183.15
24897,49,24,183.15
24925,49,23,173.96
24951,49,24,173.96
24979,49,25,173.96
25006,49,21,173.96
25032,50,25,164.75
25060,50,25,164.75
25086,50,24,164.75
25114,50,25,164.75
25141,50,24,170.55
25167,50,24,170.55
25195,50,24,170.55
25222,50,21,170.55
25249,50,25,166.35
25276,50,24,166.35
25303,50,24,166.35
25330,50,25,166.35
25357,50,24,172.15
25384,50,25,172.15
25411,50,22,172.15
25439,50,24,172.15
25465,50,24,172.96
25492,50,24,172.96
25520,50,25,172.96
25546,50,25,172.96
25574,50,24,173.76
25601,50,21,173.76
25627,50,25,173.76
25655,50,24,173.76
25681,50,24,174.57
25709,50,25,174.57
25736,50,25,174.57
25762,50,25,174.57
25790,50,25,170.36
25817,50,22,170.36
25844,50,24,170.36
25871,50,25,170.36
25899,50,25,171.17
25925,50,25,171.17
25952,50,25,171.17
25979,50,26,171.17
26006,50,22,187.0
26033,51,24,187.0
26060,51,26,187.0
26087,51,24,187.0
26115,51,25,172.8
26141,51,25,172.8
26168,51,24,172.8
26195,51,25,172.8
26222,51,23,183.62
26250,51,26,183.62
26276,51,25,183.62
26304,51,25,183.62
26331,51,26,169.42
26357,51,25,169.42
26385,51,25,169.42
26412,51,22,169.42
26439,51,25,175.22
26466,51,25,175.22
26492,51,25,175.22
26520,51,26,175.22
26547,51,25,176.03
26574,51,25,176.03
26601,51,26,176.03
26628,51,25,176.03
26655,51,26,171.82
26682,51,25,171.82
26710,51,25,171.82
26736,51,25,171.82
26764,51,25,177.63
26790,51,26,177.63
26817,51,23,177.63
26845,51,25,177.63
26871,51,25,178.44
26898,51,25,178.44
26926,51,25,178.44
26952,51,25,178.44
26980,51,25,179.25
27006,51,25,179.25
27033,52,25,179.25
27061,52,26,179.25
27087,52,26,175.05
27115,52,25,175.05
27142,52,26,175.05
27169,52,26,175.05
27196,52,25,180.87
27223,52,23,180.87
27250,52,26,180.87
27277,52,25,180.87
27304,52,25,181.68
27331,52,27,181.68
27358,52,25,181.68
27385,52,25,181.68
27412,52,24,187.5
27440,52,26,187.5
27466,52,25,187.5
27493,52,25,187.5
27521,52,28,168.29
27547,52,25,168.29
27575,52,26,168.29
27601,52,24,168.29
27628,52,26,179.09
27656,52,26,179.09
27682,52,28,179.09
27710,52,25,179.09
27737,52,26,179.91
27763,52,27,179.91
27791,52,27,179.91
27817,52,25,179.91
27845,52,26,180.71
27872,52,27,180.71
27898,52,26,180.71
27926,52,26,180.71
27953,52,26,181.52
27980,52,26,181.52
28007,52,26,181.52
28035,53,26,181.52
28061,53,27,177.33
28088,53,26,177.33
28115,53,27,177.33
28142,53,27,177.33
28170,53,26,183.14
28196,53,27,183.14
28223,53,24,183.14
28251,53,26,183.14
28277,53,27,178.94
28305,53,27,178.94
28332,53,28,178.94
28358,53,28,178.94
28386,53,27,179.74
28412,53,25,179.74
28440,53,27,179.74
28467,53,27,179.74
28493,53,27,180.55
28521,53,27,180.55
