Time,Set Temperature,Measured Temperature,On Time
1011262,0,30,0.0
1011288,0,30,0.0
1011313,0,30,0.0
1011340,0,30,0.0
1011365,0,30,0.0
1011392,0,31,0.0
1011418,0,31,0.0
1011443,0,31,0.0
1011470,0,30,0.0
1011495,0,31,0.0
1011521,0,30,0.0
1011548,0,30,0.0
1011573,0,30,0.0
1011600,0,30,0.0
1011625,0,30,0.0
1011651,0,30,0.0
1011678,0,31,0.0
1011703,0,30,0.0
1011730,0,30,0.0
1011756,0,31,0.0
1011781,0,31,0.0
1011808,0,30,0.0
1011833,0,30,0.0
1011860,0,30,0.0
1011886,0,30,0.0
1011911,0,31,0.0
1011938,0,31,0.0
1011963,0,31,0.0
1011989,0,30,0.0
1012016,0,30,0.0
1012041,0,30,0.0
1012068,0,30,0.0
1012093,0,31,0.0
1012120,0,30,0.0
1012146,0,30,0.0
1012171,0,31,0.0
1012198,0,31,0.0
1012224,0,30,0.0
1012249,0,30,0.0
1012276,0,31,0.0
1012301,0,30,0.0
1012328,0,30,0.0
1012354,0,30,0.0
1012379,0,30,0.0
1012406,0,31,0.0
1012431,0,30,0.0
1012458,0,31,0.0
1012484,0,30,0.0
1012509,0,30,0.0
1012536,0,31,0.0
1012561,0,30,0.0
1012587,0,31,0.0
1012614,0,30,0.0
1012639,0,31,0.0
1012666,0,31,0.0
1012691,0,31,0.0
1012717,0,31,0.0
1012744,0,30,0.0
1012769,0,30,0.0
1012796,0,30,0.0
1012822,0,31,0.0
1012847,0,31,0.0
1012874,0,30,0.0
1012899,0,30,0.0
1012926,0,30,0.0
1012952,0,30,0.0
1012977,0,31,0.0
1013004,0,30,0.0
1013029,0,30,0.0
1013056,0,31,0.0
1013082,0,31,0.0
1013107,0,30,0.0
1013134,0,31,0.0
1013159,0,30,0.0
1013185,0,30,0.0
1013212,0,30,0.0
1013237,0,30,0.0
